Postal Code,Place Name,State,State Abbreviation,County,Latitude,Longitude,
97001,Antelope,Oregon,OR,Wasco,44.8892,-120.7914,
97002,Aurora,Oregon,OR,Marion,45.2284,-122.8039,
97003,Beaverton,Oregon,OR,Washington,45.4963,-122.8001,
97004,Beavercreek,Oregon,OR,Clackamas,45.2597,-122.4751,
97005,Beaverton,Oregon,OR,Washington,45.4963,-122.8001,
97006,Beaverton,Oregon,OR,Washington,45.5201,-122.8604,
97007,Beaverton,Oregon,OR,Washington,45.4505,-122.8652,
97008,Beaverton,Oregon,OR,Washington,45.456,-122.7996,
97009,Boring,Oregon,OR,Clackamas,45.4297,-122.3807,
97010,Bridal Veil,Oregon,OR,Multnomah,45.583,-122.1011,
97011,Brightwood,Oregon,OR,Clackamas,45.3652,-122.0036,
97013,Canby,Oregon,OR,Clackamas,45.2514,-122.6832,
97014,Cascade Locks,Oregon,OR,Hood River,45.671,-121.8686,
97015,Clackamas,Oregon,OR,Clackamas,45.415,-122.52,
97016,Clatskanie,Oregon,OR,Columbia,46.0665,-123.2059,
97017,Colton,Oregon,OR,Clackamas,45.1573,-122.4248,
97018,Columbia City,Oregon,OR,Columbia,45.8925,-122.8122,
97019,Corbett,Oregon,OR,Multnomah,45.5221,-122.2417,
97020,Donald,Oregon,OR,Marion,45.2199,-122.8405,
97021,Dufur,Oregon,OR,Wasco,45.3913,-121.1432,
97022,Eagle Creek,Oregon,OR,Clackamas,45.3582,-122.3381,
97023,Estacada,Oregon,OR,Clackamas,45.2872,-122.3259,
97024,Fairview,Oregon,OR,Multnomah,45.5473,-122.4414,
97026,Gervais,Oregon,OR,Marion,45.1086,-122.8962,
97027,Gladstone,Oregon,OR,Clackamas,45.3899,-122.5902,
97028,Government Camp,Oregon,OR,Clackamas,45.2972,-121.739,
97029,Grass Valley,Oregon,OR,Sherman,45.3013,-120.7478,
97030,Gresham,Oregon,OR,Multnomah,45.5154,-122.4203,
97031,Hood River,Oregon,OR,Hood River,45.6711,-121.5391,
97032,Hubbard,Oregon,OR,Marion,45.1604,-122.7541,
97033,Kent,Oregon,OR,Sherman,45.0838,-120.6649,
97034,Lake Oswego,Oregon,OR,Clackamas,45.4093,-122.6847,
97035,Lake Oswego,Oregon,OR,Clackamas,45.4147,-122.7227,
97036,Marylhurst,Oregon,OR,Clackamas,45.1733,-122.2599,
97037,Maupin,Oregon,OR,Wasco,45.0742,-121.2282,
97038,Molalla,Oregon,OR,Clackamas,45.1223,-122.5756,
97039,Moro,Oregon,OR,Sherman,45.4853,-120.6957,
97040,Mosier,Oregon,OR,Wasco,45.6508,-121.379,
97041,Mount Hood Parkdale,Oregon,OR,Hood River,45.4929,-121.5983,
97042,Mulino,Oregon,OR,Clackamas,45.213,-122.5351,
97044,Odell,Oregon,OR,Hood River,45.6437,-121.5367,
97045,Oregon City,Oregon,OR,Clackamas,45.3377,-122.57,
97048,Rainier,Oregon,OR,Columbia,46.0646,-122.9671,
97049,Rhododendron,Oregon,OR,Clackamas,45.3465,-121.9151,
97050,Rufus,Oregon,OR,Sherman,45.6852,-120.7268,
97051,Saint Helens,Oregon,OR,Columbia,45.8608,-122.8282,
97053,Warren,Oregon,OR,Columbia,45.826,-122.8634,
97054,Deer Island,Oregon,OR,Columbia,45.9356,-122.8985,
97055,Sandy,Oregon,OR,Clackamas,45.379,-122.223,
97056,Scappoose,Oregon,OR,Columbia,45.7655,-122.8928,
97057,Shaniko,Oregon,OR,Wasco,45.0027,-120.75,
97058,The Dalles,Oregon,OR,Wasco,45.5995,-121.1905,
97060,Troutdale,Oregon,OR,Multnomah,45.5254,-122.3739,
97062,Tualatin,Oregon,OR,Washington,45.3727,-122.7631,
97063,Tygh Valley,Oregon,OR,Wasco,45.2229,-121.2927,
97064,Vernonia,Oregon,OR,Columbia,45.8573,-123.1967,
97065,Wasco,Oregon,OR,Sherman,45.5974,-120.7304,
97067,Welches,Oregon,OR,Clackamas,45.3399,-121.9598,
97068,West Linn,Oregon,OR,Clackamas,45.3669,-122.648,
97070,Wilsonville,Oregon,OR,Clackamas,45.2986,-122.7699,
97071,Woodburn,Oregon,OR,Marion,45.1446,-122.8583,
97075,Beaverton,Oregon,OR,Washington,45.5486,-123.1147,
97076,Beaverton,Oregon,OR,Washington,45.5486,-123.1147,
97077,Beaverton,Oregon,OR,Washington,45.5486,-123.1147,
97078,Beaverton,Oregon,OR,Washington,45.452,-122.7893,
97080,Gresham,Oregon,OR,Multnomah,45.4817,-122.4156,
97086,Happy Valley,Oregon,OR,,45.4446,-122.5372,
97089,Boring,Oregon,OR,,45.4242,-122.4509,
97101,Amity,Oregon,OR,Yamhill,45.1157,-123.1744,
97102,Arch Cape,Oregon,OR,Clatsop,45.8109,-123.963,
97103,Astoria,Oregon,OR,Clatsop,46.1558,-123.798,
97106,Banks,Oregon,OR,Washington,45.6535,-123.121,
97107,Bay City,Oregon,OR,Tillamook,45.5197,-123.8761,
97108,Beaver,Oregon,OR,Tillamook,45.2767,-123.8234,
97109,Buxton,Oregon,OR,Washington,45.737,-123.2146,
97110,Cannon Beach,Oregon,OR,Clatsop,45.9466,-123.9315,
97111,Carlton,Oregon,OR,Yamhill,45.2859,-123.1523,
97112,Cloverdale,Oregon,OR,Tillamook,45.2858,-123.8356,
97113,Cornelius,Oregon,OR,Washington,45.529,-123.0415,
97114,Dayton,Oregon,OR,Yamhill,45.1977,-123.0753,
97115,Dundee,Oregon,OR,Yamhill,45.2776,-123.0152,
97116,Forest Grove,Oregon,OR,Washington,45.5981,-123.1818,
97117,Gales Creek,Oregon,OR,Washington,45.5957,-123.234,
97118,Garibaldi,Oregon,OR,Tillamook,45.5626,-123.9001,
97119,Gaston,Oregon,OR,Washington,45.4427,-123.1666,
97121,Hammond,Oregon,OR,Clatsop,46.198,-123.9527,
97122,Hebo,Oregon,OR,Tillamook,45.1768,-123.846,
97123,Hillsboro,Oregon,OR,Washington,45.4984,-122.957,
97124,Hillsboro,Oregon,OR,Washington,45.5387,-122.9636,
97125,Manning,Oregon,OR,Washington,45.6592,-123.1917,
97127,Lafayette,Oregon,OR,Yamhill,45.2466,-123.1114,
97128,Mcminnville,Oregon,OR,Yamhill,45.2097,-123.2043,
97130,Manzanita,Oregon,OR,Tillamook,45.7366,-123.9231,
97131,Nehalem,Oregon,OR,Tillamook,45.7216,-123.9049,
97132,Newberg,Oregon,OR,Yamhill,45.3099,-122.9685,
97133,North Plains,Oregon,OR,Washington,45.6686,-123.0281,
97134,Oceanside,Oregon,OR,Tillamook,45.4549,-123.965,
97135,Pacific City,Oregon,OR,Tillamook,45.205,-123.959,
97136,Rockaway Beach,Oregon,OR,Tillamook,45.6352,-123.913,
97137,Saint Paul,Oregon,OR,Marion,45.196,-122.9674,
97138,Seaside,Oregon,OR,Clatsop,45.9027,-123.6736,
97140,Sherwood,Oregon,OR,Washington,45.3514,-122.8567,
